Time,humidity,temperature,light level
"08/13/24 02:15:00 PM",35,27.6,444
"08/13/24 02:14:00 PM",33,27.6,447
"08/13/24 02:13:00 PM",33,27.1,458
"08/13/24 02:12:00 PM",33,27.1,456
"08/13/24 01:31:00 PM",34,25.8,302
"08/13/24 01:30:00 PM",35,25.8,303
"08/13/24 01:29:00 PM",35,25.8,304
"08/13/24 01:28:00 PM",34,25.8,305
"08/13/24 01:27:00 PM",35,25.3,507
"08/13/24 01:26:00 PM",34,25.3,306
"08/13/24 01:25:00 PM",34,25.3,307
"08/13/24 01:24:00 PM",34,25.3,308
"08/13/24 01:23:00 PM",36,25.3,514
"08/13/24 01:22:00 PM",36,25.3,312
"08/13/24 01:21:00 PM",35,25.3,508
"08/13/24 01:20:00 PM",35,25.3,501
"08/13/24 01:18:00 PM",35,24.8,508
"08/13/24 01:16:00 PM",35,24.8,502
"08/13/24 01:13:00 PM",35,25.3,302
"08/13/24 01:12:00 PM",35,25.3,503
"08/13/24 12:07:00 PM",34,26.7,299
"08/13/24 12:06:00 PM",34,27.1,494
"08/13/24 12:04:00 PM",39,27.1,491
"08/13/24 12:00:00 PM",44,28,307
"08/13/24 11:59:00 AM",42,28,304
"08/13/24 11:58:00 AM",44,28,495
"08/12/24 02:55:00 PM",38,24.1,361
"08/12/24 02:54:00 PM",38,24.1,511
"08/03/24 06:17:00 PM",63,30.2,0
"08/03/24 06:16:00 PM",57,28.9,0
"08/02/24 11:09:00 AM",46,23,504
"08/02/24 11:08:00 AM",47,23,663
"08/02/24 10:44:00 AM",47,23,0
"08/02/24 10:43:00 AM",47,23,0
"08/02/24 10:39:00 AM",47,23.8,0
"08/02/24 10:25:00 AM",45,23.8,426
"08/02/24 10:24:00 AM",44,24.1,500
"08/02/24 10:21:00 AM",44,26.2,499
"08/02/24 10:19:00 AM",73,26.7,309
"08/02/24 10:18:00 AM",62,24.5,512
"08/01/24 03:23:00 PM",40,24.5,780
"08/01/24 03:22:00 PM",40,24.5,781
"08/01/24 03:21:00 PM",40,24.5,768
"08/01/24 03:20:00 PM",41,24.5,776
"08/01/24 03:19:00 PM",41,24.1,788
"08/01/24 03:18:00 PM",41,24.1,789
"08/01/24 03:14:00 PM",41,24.5,791
"08/01/24 03:13:00 PM",42,24.5,793
"08/01/24 03:12:00 PM",49,24.5,791
"08/01/24 03:11:00 PM",39,24.1,791
"08/01/24 03:10:00 PM",40,24.1,790
"08/01/24 03:07:00 PM",40,23.8,1023
"08/01/24 03:06:00 PM",39,23.8,1023
"07/31/24 01:47:00 PM",39,21.8,724
"07/31/24 01:46:00 PM",40,21.8,724
"07/31/24 01:45:00 PM",47,22.2,724
"07/31/24 01:44:00 PM",55,21.8,725
"07/31/24 01:43:00 PM",39,21,726
"07/31/24 01:42:00 PM",39,21,726
"07/31/24 01:41:00 PM",39,21,726
"07/31/24 01:40:00 PM",39,21,726
"07/31/24 01:39:00 PM",39,21,726
"07/31/24 01:38:00 PM",39,21,726
"07/31/24 01:37:00 PM",39,21,726
"07/31/24 01:36:00 PM",39,21,726
"07/31/24 01:35:00 PM",39,21,726
"07/31/24 01:34:00 PM",39,21,727
"07/31/24 01:33:00 PM",39,21,726
"07/31/24 01:32:00 PM",39,21,726
"07/31/24 01:31:00 PM",39,21,727
"07/31/24 01:30:00 PM",39,21,727
"07/31/24 01:29:00 PM",39,21,727
"07/31/24 01:28:00 PM",39,21,727
"07/31/24 01:27:00 PM",39,21,727
"07/31/24 01:26:00 PM",39,21.1,727
"07/31/24 01:25:00 PM",41,21.4,728
"07/31/24 01:24:00 PM",44,21.4,728
"07/31/24 01:23:00 PM",39,21,717
"07/31/24 01:22:00 PM",39,21.4,720
"07/31/24 01:21:00 PM",39,21.4,721
"07/31/24 01:20:00 PM",39,21.8,722
"07/31/24 01:19:00 PM",42,21.8,716
"07/31/24 01:18:00 PM",42,21.8,705
"07/31/24 01:17:00 PM",42,21.4,719
"07/31/24 01:16:00 PM",43,21.4,740
"07/31/24 01:15:00 PM",42,21,740
"07/31/24 01:14:00 PM",48,21,632
"07/31/24 12:04:00 PM",65,27.1,775
"07/31/24 12:03:00 PM",75,27.1,775
"07/31/24 12:02:00 PM",73,27.1,774
"07/31/24 12:01:00 PM",72,26.2,769
"07/31/24 12:00:00 PM",69,25.3,758
"07/31/24 11:59:00 AM",53,24.1,782
"07/31/24 11:58:00 AM",33,23.4,782
"07/31/24 11:57:00 AM",33,23.4,782
"07/31/24 11:56:00 AM",33,23.4,782
"07/31/24 11:55:00 AM",33,23.4,781
"07/31/24 11:54:00 AM",33,23.4,781
"07/31/24 11:53:00 AM",33,23.4,781
"07/31/24 11:52:00 AM",33,23.4,782
"07/31/24 11:51:00 AM",34,23.4,781
"07/31/24 11:50:00 AM",34,23.4,781
"07/31/24 11:49:00 AM",34,23.6,781
"07/31/24 11:48:00 AM",34,23.8,782
"07/31/24 11:47:00 AM",34,23.8,782
"07/31/24 11:46:00 AM",34,23.8,782
"07/31/24 11:45:00 AM",34,24.1,781
"07/31/24 11:44:00 AM",45,24.2,781
"07/31/24 11:43:00 AM",45,24.1,784
"07/31/24 11:42:00 AM",33,23.8,784
"07/31/24 11:41:00 AM",33,23.8,784
"07/31/24 11:40:00 AM",33,23.8,785
"07/31/24 11:39:00 AM",33,23.8,786
"07/31/24 11:38:00 AM",33,23.8,786
"07/31/24 11:37:00 AM",33,23.8,786
"07/31/24 11:36:00 AM",33,23.8,786
"07/31/24 11:35:00 AM",34,23.8,786
"07/31/24 11:34:00 AM",34,23.8,786
"07/31/24 11:33:00 AM",33,23.8,785
"07/31/24 11:32:00 AM",34,23.8,786
"07/31/24 11:31:00 AM",34,23.8,785
"07/31/24 11:30:00 AM",34,23.8,785
"07/31/24 11:29:00 AM",33,23.8,786
"07/31/24 11:28:00 AM",34,24.1,786
"07/31/24 11:27:00 AM",33,23.8,786
"07/31/24 11:26:00 AM",34,23.8,785
"07/31/24 11:25:00 AM",34,23.8,784
"07/31/24 11:24:00 AM",34,23.8,784
"07/31/24 11:23:00 AM",34,23.8,786
"07/31/24 11:22:00 AM",34,23.8,786
"07/31/24 11:21:00 AM",34,23.8,785
"07/31/24 11:20:00 AM",34,23.8,786
"07/31/24 11:19:00 AM",34,23.8,789
"07/31/24 11:18:00 AM",34,23.8,788
"07/31/24 11:17:00 AM",34,23.8,787
"07/31/24 11:16:00 AM",34,23.8,788
"07/31/24 11:15:00 AM",34,23.8,788
"07/31/24 11:14:00 AM",33,23.8,787
"07/31/24 11:13:00 AM",33,24.1,780
"07/31/24 11:12:00 AM",33,24.5,766
"07/31/24 11:10:00 AM",34,24.8,770
"07/31/24 11:09:00 AM",34,24.8,763
"07/31/24 11:08:00 AM",34,24.5,764
"07/31/24 11:07:00 AM",34,24.1,779
"07/31/24 11:06:00 AM",34,24.5,750
"07/31/24 11:05:00 AM",34,24.5,748
"07/31/24 11:04:00 AM",34,24.5,749
"07/31/24 11:03:00 AM",34,24.5,748
"07/31/24 11:02:00 AM",34,24.5,754
"07/31/24 11:01:00 AM",34,24.5,756
"07/31/24 11:00:00 AM",34,24.5,759
"07/31/24 10:59:00 AM",34,24.3,757
"07/31/24 10:58:00 AM",34,24.1,750
"07/31/24 10:57:00 AM",34,24.2,753
"07/31/24 10:56:00 AM",34,24.5,746
"07/31/24 10:55:00 AM",34,24.5,754
"07/31/24 10:54:00 AM",34,24.5,746
"07/31/24 10:53:00 AM",35,24.5,758
"07/31/24 10:52:00 AM",34,24.5,741
"07/31/24 10:51:00 AM",35,24.8,746
"07/31/24 10:50:00 AM",35,25.3,744
"07/31/24 10:49:00 AM",42,25.8,743
"07/31/24 10:48:00 AM",53,25.8,785
"07/31/24 10:47:00 AM",35,23.8,776
